Tournament	Date	Entrants	Matches	Link
The Comeback!: Birthday Edition [$100 POT BONUS]	07 March 2023	34	67	https://braacket.com/tournament/C4BEF74E-3EAB-4C6E-8AEC-7B0CAE9A31FF
UMEC #50	06 March 2023	12	22	https://braacket.com/tournament/E1CF124A-E858-4AC2-A128-DAA64476A90C
The Pantown Throwdown 2 : Ultimate and Melee singles	05 March 2023	20	38	https://braacket.com/tournament/90DF8B5E-5136-4693-A17F-F3E1BB79995C
Leveling @ LUG #7	04 March 2023	16	30	https://braacket.com/tournament/3D37FFE2-D3E9-4F30-B879-29EADCB66376
Advantage State #60	03 March 2023	47	93	https://braacket.com/tournament/5C5B0639-B4D3-40F0-BB7E-67010911F0F8
Inver Grove Fights #44	27 February 2023	21	40	https://braacket.com/tournament/0158DF57-0695-4D2F-A111-8E67687BF8D9
Leveling @ LUG #6	25 February 2023	26	50	https://braacket.com/tournament/C2EFB215-B48F-40EC-80E6-88DE9A93F422
Sleet & Beat	20 February 2023	70	131	https://braacket.com/tournament/6C50CED7-65FE-4F68-9EFA-4943E58DAE87
Leveling @ LUG #5	18 February 2023	23	44	https://braacket.com/tournament/A08960E9-AF10-482E-BC7B-7C390F6C6D81
Advantage State #59	17 February 2023	68	133	https://braacket.com/tournament/2E0A55E3-1F54-4144-B0E2-5358A58F2552
Inver Grove Fights #43	13 February 2023	31	60	https://braacket.com/tournament/1AC19E7A-6A3B-4E5B-8A03-81268DAA411F
Leveling @ LUG #4	11 February 2023	21	39	https://braacket.com/tournament/A0FED2A7-2FE6-44B5-901B-67E203B4A4A6
Advantage State #58	10 February 2023	56	109	https://braacket.com/tournament/28A95478-049E-4105-8257-8213EBDAD2BD
Advantage State #57	03 February 2023	45	89	https://braacket.com/tournament/197CDDA0-DC45-4FEB-B4F9-4349533EEDF5
Inver Grove Fights #42	30 January 2023	28	55	https://braacket.com/tournament/0D785DE7-B0F3-4DC8-B050-AC2EF4D6F9E7
Advantage State #56	27 January 2023	53	104	https://braacket.com/tournament/E197BCC9-402A-443E-AB4B-0BC2C7C16947
Leveling @ LUG #3	21 January 2023	39	77	https://braacket.com/tournament/95B6C689-0FBC-4988-A6D6-2790F06E687B
Advantage State #55	20 January 2023	80	156	https://braacket.com/tournament/EE568E1C-1304-4B09-AAE8-56B76DC2ECEE
The Comeback! #38	17 January 2023	23	45	https://braacket.com/tournament/BBF354B7-C4C3-433C-813E-0A2C5E92DCE9
Inver Grove Fights #41	16 January 2023	29	57	https://braacket.com/tournament/F92E3F0A-C98B-4D3B-A7FF-C88FE1B3B9CE
The Pantown Throwdown : Ultimate and Melee singles	15 January 2023	24	45	https://braacket.com/tournament/AC5F83EA-040D-4F2C-9201-A2A8C2EB72B8
The Comeback! #37	10 January 2023	16	31	https://braacket.com/tournament/DF490FE2-30EB-4EC5-906E-B26A2F096FCD
Granite City Smash @ LGS #34	09 January 2023	19	37	https://braacket.com/tournament/C63AA01C-2C2F-4405-964A-86CC007D8051
Leveling @ LUG #2	07 January 2023	47	88	https://braacket.com/tournament/496C9B32-1BAD-48E3-BFC3-A48DAE1A0157
The Comeback!: Christmas Edition	20 December 2022	24	46	https://braacket.com/tournament/D9D36994-CCBA-4871-8A6F-50738F4E1E34
Inver Grove Fights #40	19 December 2022	25	48	https://braacket.com/tournament/B981308A-2A9B-4EDB-AE9B-76594490A0F0
CONTENDER ESPORTS MANKATO MONTHLY DECEMBER 2022	18 December 2022	21	41	https://braacket.com/tournament/B0B05F74-12B8-440A-8776-E729EB1E5EFB
Stop Your Friendlies! #70	16 December 2022	19	36	https://braacket.com/tournament/4777E559-BBF5-4362-BC08-221295382300
UMEC #46	12 December 2022	27	52	https://braacket.com/tournament/19821450-DE9E-4737-9105-EFAB3EE533A6
Stop Your Friendlies! #69	09 December 2022	21	41	https://braacket.com/tournament/23E3EF64-1A57-434B-B4A0-975BC68B6A61
Inver Grove Fights #39	05 December 2022	23	45	https://braacket.com/tournament/98F3737F-F50B-4D46-81FD-085EEEC9B1EC
Leveling @ LUG	04 December 2022	32	63	https://braacket.com/tournament/5B3360D3-D703-4151-931B-13B21F50CAB6
Stop Your Friendlies! #68	02 December 2022	21	41	https://braacket.com/tournament/9313308C-D5A5-46B3-8671-37CC57044F26
Stop Your Friendlies! #66	11 November 2022	33	64	https://braacket.com/tournament/AA071309-B86C-4A87-ABDC-FEF7C92665EE
Inver Grove Fights #37	07 November 2022	22	40	https://braacket.com/tournament/505EEFB5-036E-4EBF-8C9A-96D735FC9EB4
Stop Your Friendlies! #65	04 November 2022	27	52	https://braacket.com/tournament/9E8D1A95-C8A7-4C17-97AF-316A374033A8
The Comeback! #29	01 November 2022	16	31	https://braacket.com/tournament/65966901-CBD0-44BE-A386-603B0F227BA2
Eagan Open	29 October 2022	32	60	https://braacket.com/tournament/01C8EAFE-CE95-4499-AA7D-BEC0409DD874
The Comeback!: Comeback Edition	25 October 2022	21	40	https://braacket.com/tournament/1FB0BF26-40E3-4EE2-9397-60FCC42FA924
Keepers of the North #12	16 October 2022	22	108	https://braacket.com/tournament/7E937162-5BFF-4E12-ADC9-DCD4F8062813
Stop Your Friendlies! #64	14 October 2022	22	43	https://braacket.com/tournament/5D02B783-686A-48B9-BFCD-C3F223DD1F8B
Stop Your Friendlies! #63	07 October 2022	18	34	https://braacket.com/tournament/6C7A4573-57F8-4F5E-9854-B75CD8810F4C
Stop Your Friendlies! #62	30 September 2022	16	30	https://braacket.com/tournament/826892EE-CF54-4BF1-B6DB-C732A2ED6A98
Advantage State #54	29 September 2022	30	59	https://braacket.com/tournament/19AFA4A9-BD55-42CE-A0CE-E28BE00E3976
The Ultimate Barcadian	25 September 2022	102	188	https://braacket.com/tournament/233866E7-DAC3-420B-B08C-1C014FEB2206
Advantage State #53	22 September 2022	56	110	https://braacket.com/tournament/C59005D5-2C6A-47D8-BC33-582EA458C6EA
Stop Your Friendlies! #60	16 September 2022	23	45	https://braacket.com/tournament/1BF0C7F6-E89B-4061-91CC-8EF4876E2680
Advantage State #52	15 September 2022	55	108	https://braacket.com/tournament/2CC7092D-FD40-461B-9FA2-0BE743315EFC
UMEC Monthly #1	11 September 2022	21	41	https://braacket.com/tournament/BBA797B0-DAA0-4022-9B52-5A8828373566
Stop Your Friendlies! #59	09 September 2022	24	46	https://braacket.com/tournament/A821098F-DEC1-4F6E-BAD8-B111BDD7CDB5
Advantage State #51	08 September 2022	51	100	https://braacket.com/tournament/EA3932AC-0440-4427-AADE-D94E901D080C
Stop Your Friendlies! #57	26 August 2022	20	38	https://braacket.com/tournament/A82DA2DF-3657-4CD1-847A-A6DCF1663777
Advantage State #49	25 August 2022	64	126	https://braacket.com/tournament/A8242791-4B09-4637-9A03-7ED66C67DCCF
Advantage State #48	18 August 2022	65	127	https://braacket.com/tournament/93D3AE8A-B650-4F01-99CB-1417231A4EA8
Inver Grove Fights #32	15 August 2022	31	61	https://braacket.com/tournament/B066CAB1-A663-4B40-98B0-8D536E494FC5
Stop Your Friendlies! #55	12 August 2022	23	44	https://braacket.com/tournament/15626F75-B3B6-4824-967D-00F3F500E0F3
Advantage State #46	04 August 2022	60	118	https://braacket.com/tournament/E2952C44-26F2-4386-B17B-1CD7032B2464
Inver Grove Fights #31	01 August 2022	24	64	https://braacket.com/tournament/D98AA37D-A3E8-445A-B2CC-2712E02F14A4
Advantage State #45	28 July 2022	58	112	https://braacket.com/tournament/67D38359-8EC8-4B53-9F49-590D141AD6EF
First Annual 100% Whole Grain WEET THINS Duluth Summer Smackdown $500 POT BONUS	24 July 2022	24	46	https://braacket.com/tournament/FAF7AEB6-A0C1-46DA-96B4-DB9155F11F64
Freezie Friday #27 at Black Ice eSports	23 July 2022	51	101	https://braacket.com/tournament/FF677B11-71BE-4E5B-B38E-2C848542ED2E
Advantage State #44	21 July 2022	48	95	https://braacket.com/tournament/398BF760-B02B-4113-B8CA-2E52C6D4148C
Freezie Friday #26 at Black Ice eSports	16 July 2022	25	49	https://braacket.com/tournament/FB35A2D1-194B-4BD0-B101-06F0C3FB78C5
Advantage State #43	14 July 2022	54	106	https://braacket.com/tournament/B1CA61CA-1ECD-44A1-B2A0-FC9138AE4EA6
Inver Grove Fights #29	11 July 2022	23	45	https://braacket.com/tournament/FE88FB40-02BC-472A-9EF5-421054575A41
Stop Your Friendlies! #50	10 July 2022	32	62	https://braacket.com/tournament/35ACCD36-E67F-4A5A-AB36-92C473495DE7
Freezie Friday #25 at Black Ice eSports	09 July 2022	40	78	https://braacket.com/tournament/4C4E58CF-1C33-4181-BB1A-53F2496C1226
Advantage State #42	07 July 2022	48	94	https://braacket.com/tournament/B4D4AEB9-FB22-4B79-B5C5-1E60FF62CCD5
Med City Smash #100 - $100 Pot Bonus!	04 July 2022	48	166	https://braacket.com/tournament/0F138AAC-8338-49F5-A364-9831A5AE94BA
Freeze Frame #8 at Black Ice eSports	03 July 2022	72	142	https://braacket.com/tournament/824F229F-9115-4C42-B5EC-A55BA3930582
Advantage State #41	30 June 2022	65	128	https://braacket.com/tournament/FB8836D4-E68C-4EB2-B000-DC6D7B249812
Freezie Friday #24 at Black Ice eSports	25 June 2022	47	92	https://braacket.com/tournament/E8232CEF-B297-440A-A86F-A929D9ED22A0
Advantage State #40	23 June 2022	64	125	https://braacket.com/tournament/9C09E01A-F2DC-4D4E-99C3-5C96EC968E1D
Freezie Friday #23 at Black Ice eSports	18 June 2022	52	102	https://braacket.com/tournament/CA18F40C-901A-4B6F-9CAC-3038CBA64200
Advantage State #39	16 June 2022	64	126	https://braacket.com/tournament/64774A2B-01F1-4DF6-A1E5-E42DDB20F3BB
UMEC #34	12 June 2022	22	43	https://braacket.com/tournament/09FB1E04-D528-49F5-9716-A46A04A18055
Freezie Friday #22 at Black Ice eSports	11 June 2022	34	66	https://braacket.com/tournament/D4547DCD-AB7B-4CB0-92A2-379E522AD97F
Advantage State #38	09 June 2022	52	101	https://braacket.com/tournament/167D4A78-4BC0-4BDC-980E-253E24E8B7C4
Freeze Frame #7 at Black Ice eSports	05 June 2022	59	110	https://braacket.com/tournament/B53263AF-BA64-4677-9935-1E3DD205762E
Advantage State #37	02 June 2022	61	120	https://braacket.com/tournament/DD8984DE-9AE5-4A95-BDE2-9EB81CBDE0CF
Advantage State #36	26 May 2022	48	94	https://braacket.com/tournament/2BAAB849-BC8B-43B6-9799-CEF9693C52E2
Inver Grove Fights #26	23 May 2022	24	45	https://braacket.com/tournament/B1A70CDF-DE2F-4A4F-9FC2-5BD428C26476
Freezie Friday #21 at Black Ice	21 May 2022	42	82	https://braacket.com/tournament/44F9A7A6-FE03-426D-8255-7FD1415E7ECA
Advantage State #35	19 May 2022	50	99	https://braacket.com/tournament/9A51870E-777C-45E0-B8A4-28249A8E5C9B
Freeze Frame #6: Battle of the Schools BRACKET	15 May 2022	64	124	https://braacket.com/tournament/2A2B2230-F272-4479-9422-34299CC3E9AA
Advantage State #34	12 May 2022	42	83	https://braacket.com/tournament/CCC5D739-4F08-4EF3-8497-5259DB7CF2F0
Freezie Friday #20 at Black Ice	07 May 2022	45	88	https://braacket.com/tournament/C6A23013-A61C-45C8-8C08-D97E6A4A4C83
Advantage State #33	05 May 2022	37	72	https://braacket.com/tournament/37BD93C6-7E0E-4825-AAA5-E33E42CAF028
Freezie Friday #19 at Black Ice	30 April 2022	42	79	https://braacket.com/tournament/DF25AFB2-7A73-49B6-A115-058F884CFDFE
Advantage State #32	28 April 2022	51	100	https://braacket.com/tournament/72820427-5543-443E-B9D9-F22B0CFBF1C0
Freezie Friday #18 at Black Ice	23 April 2022	34	66	https://braacket.com/tournament/191DFD1D-47E8-429D-B4EE-CD3969AECC15
Advantage State #31	21 April 2022	46	88	https://braacket.com/tournament/4B0F419C-6D12-4012-AE8E-8B7FD5A74F05
Freeze Frame #5 at Black Ice	16 April 2022	62	122	https://braacket.com/tournament/0D0FF11F-86CC-4A30-8DA6-B835D1DCAE10
Advantage State #30	14 April 2022	56	110	https://braacket.com/tournament/069C7911-5E84-4B93-A038-9DF6E6E6C3C4
Freezie Friday #17 at Black Ice	09 April 2022	39	76	https://braacket.com/tournament/B5571A75-E809-4977-A658-C6DF680E7AFD
Freezie Friday #16 at Black Ice	02 April 2022	52	101	https://braacket.com/tournament/1F27B9A5-28A0-4C71-9191-AB690A07A1CD
