Tournament Name,Date,Winner,Entrants,Sets Played,Original Link:,League Link
Leveling @ LUG #2,07 January 2023,GodIMissHer,47,88,http://start.gg/tournament/leveling-lug-2/event/ultimate-singles,https://braacket.com/tournament/496C9B32-1BAD-48E3-BFC3-A48DAE1A0157
Granite City Smash @ LGS #34,09 January 2023,HeroAwesome,19,37,http://start.gg/tournament/granite-city-smash-lgs-34/event/ultimate-singles,https://braacket.com/tournament/C63AA01C-2C2F-4405-964A-86CC007D8051
The Comeback! #37,10 January 2023,Failbot,16,31,http://start.gg/tournament/the-comeback-37/event/ultimate-singles,https://braacket.com/tournament/DF490FE2-30EB-4EC5-906E-B26A2F096FCD
The Pantown Throwdown  Ultimate and Melee singles,15 January 2023,Shrumble,24,45,http://start.gg/tournament/the-pantown-throwdown-ultimate-and-melee-singles/event/ultimate-singles,https://braacket.com/tournament/AC5F83EA-040D-4F2C-9201-A2A8C2EB72B8
Inver Grove Fights #41,16 January 2023,Vivian,29,57,http://start.gg/tournament/inver-grove-fights-41/event/ultimate-singles,https://braacket.com/tournament/F92E3F0A-C98B-4D3B-A7FF-C88FE1B3B9CE
The Comeback! #38,17 January 2023,Stealth_Pilot,23,45,http://start.gg/tournament/the-comeback-38-1/event/ultimate-singles,https://braacket.com/tournament/BBF354B7-C4C3-433C-813E-0A2C5E92DCE9
Advantage State #55,20 January 2023,thirty4,80,156,http://start.gg/tournament/advantage-state-55/event/ultimate-singles,https://braacket.com/tournament/EE568E1C-1304-4B09-AAE8-56B76DC2ECEE
Leveling @ LUG #3,21 January 2023,Lucky,39,77,http://start.gg/tournament/leveling-lug-3/event/ultimate-singles,https://braacket.com/tournament/95B6C689-0FBC-4988-A6D6-2790F06E687B
Advantage State #56,27 January 2023,Vivian,53,104,http://start.gg/tournament/advantage-state-56/event/ultimate-singles,https://braacket.com/tournament/E197BCC9-402A-443E-AB4B-0BC2C7C16947
Inver Grove Fights #42,30 January 2023,Truth,28,55,http://start.gg/tournament/inver-grove-fights-42/event/ultimate-singles,https://braacket.com/tournament/0D785DE7-B0F3-4DC8-B050-AC2EF4D6F9E7
Advantage State #57,03 February 2023,GodIMissHer,45,89,http://start.gg/tournament/advantage-state-57/event/ultimate-singles,https://braacket.com/tournament/197CDDA0-DC45-4FEB-B4F9-4349533EEDF5
Advantage State #58,10 February 2023,Violet,56,109,http://start.gg/tournament/advantage-state-58/event/ultimate-singles,https://braacket.com/tournament/28A95478-049E-4105-8257-8213EBDAD2BD
Leveling @ LUG #4,11 February 2023,Truth,21,39,http://start.gg/tournament/leveling-lug-4/event/ultimate-singles,https://braacket.com/tournament/A0FED2A7-2FE6-44B5-901B-67E203B4A4A6
Inver Grove Fights #43,13 February 2023,Truth,31,60,http://start.gg/tournament/inver-grove-fights-43/event/ultimate-singles,https://braacket.com/tournament/1AC19E7A-6A3B-4E5B-8A03-81268DAA411F
Advantage State #59,17 February 2023,Vivian,68,133,http://start.gg/tournament/advantage-state-59/event/ultimate-singles,https://braacket.com/tournament/2E0A55E3-1F54-4144-B0E2-5358A58F2552
Leveling @ LUG #5,18 February 2023,Vivian,23,44,http://start.gg/tournament/leveling-lug-5/event/ultimate-singles,https://braacket.com/tournament/A08960E9-AF10-482E-BC7B-7C390F6C6D81
Sleet & Beat,20 February 2023,GodIMissHer,70,131,http://start.gg/tournament/sleet-beat/event/ultimate-singles-1,https://braacket.com/tournament/6C50CED7-65FE-4F68-9EFA-4943E58DAE87
Leveling @ LUG #6,25 February 2023,Truth,26,50,http://start.gg/tournament/leveling-lug-6/event/ultimate-singles,https://braacket.com/tournament/C2EFB215-B48F-40EC-80E6-88DE9A93F422
Inver Grove Fights #44,27 February 2023,Ventura,21,40,http://start.gg/tournament/inver-grove-fights-44/event/ultimate-singles,https://braacket.com/tournament/0158DF57-0695-4D2F-A111-8E67687BF8D9
Advantage State #60,03 March 2023,loaf,47,93,http://start.gg/tournament/advantage-state-60/event/ultimate-singles,https://braacket.com/tournament/5C5B0639-B4D3-40F0-BB7E-67010911F0F8
Leveling @ LUG #7,04 March 2023,Mistral,16,30,http://start.gg/tournament/leveling-lug-7/event/ultimate-singles,https://braacket.com/tournament/3D37FFE2-D3E9-4F30-B879-29EADCB66376
The Pantown Throwdown 2  Ultimate and Melee singles,05 March 2023,Shrumble,20,38,http://start.gg/tournament/the-pantown-throwdown-2-ultimate-and-melee-singles/event/ultimate-singles,https://braacket.com/tournament/90DF8B5E-5136-4693-A17F-F3E1BB79995C
UMEC #50,06 March 2023,Failbot,12,22,http://start.gg/tournament/umec-50/event/ultimate-singles,https://braacket.com/tournament/E1CF124A-E858-4AC2-A128-DAA64476A90C
The Comeback! Birthday Edition [$100 POT BONUS],07 March 2023,Vivian,34,67,http://start.gg/tournament/the-comeback-birthday-edition-100-pot-bonus/event/ultimate-singles,https://braacket.com/tournament/C4BEF74E-3EAB-4C6E-8AEC-7B0CAE9A31FF